Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-05,2.411,2.444,2.373,2.404,18270325,0,0
2020-10-06,2.41,2.51,2.384,2.477,33370823,0,0
2020-10-07,2.45,2.461,2.404,2.413,19119163,0,0
2020-10-08,2.43,2.473,2.419,2.435,16231689,0,0
2020-10-09,2.43,2.451,2.373,2.39,18334974,0,0
2020-10-12,2.388,2.399,2.34,2.352,14478832,0,0
2020-10-13,2.348,2.348,2.252,2.258,24956467,0,0
2020-10-14,2.26,2.313,2.248,2.268,38176535,0,0
2020-10-15,2.223,2.269,2.183,2.257,19407733,0,0
2020-10-16,2.278,2.347,2.21,2.334,20039775,0,0
2020-10-19,2.343,2.382,2.32,2.356,17276411,0,0
2020-10-20,2.343,2.468,2.333,2.428,24553251,0,0
2020-10-21,2.461,2.501,2.394,2.394,19855350,0,0
2020-10-22,2.366,2.44,2.332,2.427,17173310,0,0
2020-10-23,2.442,2.503,2.431,2.495,20242367,0,0
2020-10-26,2.41,2.489,2.384,2.436,21052870,0,0
2020-10-27,2.491,2.54,2.38,2.406,30713496,0,0
2020-10-28,2.35,2.404,2.305,2.366,29533996,0,0
2020-10-29,2.37,2.412,2.305,2.339,18548560,0,0
2020-10-30,2.34,2.462,2.332,2.462,23553071,0,0
2020-11-02,2.5,2.518,2.453,2.499,25434425,0,0
2020-11-03,2.527,2.641,2.51,2.631,33530829,0,0
2020-11-04,2.49,2.53,2.426,2.456,65108969,0,0
2020-11-05,2.486,2.569,2.422,2.56,36104917,0,0
2020-11-06,2.56,2.62,2.482,2.486,21937084,0,0
2020-11-09,2.533,2.9,2.514,2.9,79145680,0,0
2020-11-10,2.907,3.091,2.884,3.091,65826709,0,0
2020-11-11,3.078,3.165,3.061,3.143,38876259,0,0
2020-11-12,3.05,3.116,3.01,3.09,46621942,0,0
2020-11-13,3.05,3.195,3.049,3.174,29839812,0,0
2020-11-16,3.8,3.837,3.58,3.658,89416230,0,0
2020-11-17,3.624,3.64,3.393,3.497,53349717,0,0
2020-11-18,3.49,3.552,3.429,3.511,28293824,0,0
2020-11-19,3.433,3.598,3.429,3.572,25851326,0,0
2020-11-20,3.598,3.624,3.571,3.599,27491796,0,0
2020-11-23,3.63,3.675,3.612,3.63,22827790,0,0
2020-11-24,3.68,3.776,3.644,3.776,23387750,0,0
2020-11-25,3.81,3.84,3.683,3.785,23853531,0,0
2020-11-26,3.795,3.813,3.675,3.77,30274416,0,0
2020-11-27,3.74,3.958,3.738,3.958,45249829,0,0
2020-11-30,3.865,3.966,3.815,3.93,51849364,0,0
2020-12-01,3.865,4.007,3.837,4.005,45127272,0,0
2020-12-02,3.983,4.08,3.945,4.08,43622604,0,0
2020-12-03,4.08,4.103,3.989,4.078,26349754,0,0
2020-12-04,4.067,4.304,4.055,4.304,53906462,0,0
2020-12-07,4.25,4.301,4.173,4.2,24370848,0,0
2020-12-08,4.179,4.238,4.154,4.155,14456337,0,0
2020-12-09,4.177,4.197,4.139,4.155,17472817,0,0
2020-12-10,4.196,4.196,4.003,4.054,24864263,0,0
2020-12-11,4.026,4.058,3.864,3.971,41358829,0,0
